activity,wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
3,-146,3137,-9725,-3856,-6038,-7707,9389,3636,1700,3772,9497,-6219,-2738,-19575,-6898,7584,4244,-16124,2291,-102,-335,7914,914,614,0.371456504,5.043988228,1.873622179,0.072824165
3,-3620,-3241,-2132,-246,-8877,-4594,2135,770,-176,786,8075,-1650,-3368,5952,-1929,-10584,8498,-30903,-440,-179,72,7766,286,19,0.327468216,5.05376339,1.654946923,0.077446125
3,-1332,-3723,-1177,3535,-8610,-5562,1540,756,-721,266,9387,-1437,4046,-3251,-3525,12287,4922,-25885,-464,-148,123,7919,403,-120,0.317693055,5.05376339,1.605545521,0.077453792
3,549,-1099,-661,4686,-7949,-5286,937,980,-653,438,9607,-2784,2445,1574,-1955,5276,2263,-10238,-465,-102,116,7996,379,-237,0.312805474,5.043988228,1.577787161,0.077461332
3,2234,1694,254,683,-6472,-3533,152,835,-388,1384,7667,-3745,2540,-2690,-2184,-2540,5572,-7804,-471,-68,98,7960,303,-319,0.312805474,5.043988228,1.577787161,0.077468887
3,3216,832,381,-1420,-5726,-1689,-287,259,-494,1158,6716,-3112,-429,-6477,-1838,-3992,3989,-15453,-456,-41,69,7872,230,-365,0.312805474,5.043988228,1.577787161,0.07747642
3,4120,630,737,-315,-5860,1608,-1143,-1120,-790,1359,6771,-2810,1595,-13014,-658,-6140,1287,-18821,-424,-16,49,7799,97,-80,0.317693055,5.05376339,1.605545521,0.077484086
3,4541,1517,1152,-222,-5962,1631,-1722,-1711,-984,2323,6665,-3308,5505,-19791,-2756,-5300,-1959,-18392,-413,-33,81,7866,-64,-272,0.317693055,5.043988228,1.60244,0.077491745
3,3911,2507,1544,-132,-5693,4773,-1849,-1479,-798,3743,7096,-4296,7235,-24273,-3482,-77,3799,-20762,-404,-66,122,7965,23,-270,0.317693055,5.043988228,1.60244,0.077499412
3,3192,3180,1572,-12,-7024,6134,-1864,-1147,-443,4486,7413,-4956,7931,-26738,-4146,5650,6871,-16216,-420,-12,111,8037,-115,-333,0.317693055,5.043988228,1.60244,0.077507079
3,2534,2760,1614,-2388,-10688,859,-1994,-663,65,4668,7073,-5405,5599,-31334,-3477,12099,8386,-10740,-364,23,56,7990,-347,-355,0.317693055,5.043988228,1.60244,0.07751473
3,3258,498,1616,-3207,-12035,-3806,-1769,-99,197,4093,6885,-5475,1527,-28477,-1876,16480,4596,-8306,-227,39,16,7840,-487,-410,0.312805474,5.043988228,1.577787161,0.077522255
3,4539,-1821,1765,-275,-10069,-4791,-1578,284,-160,3121,6671,-5472,2351,-23069,-394,13329,-2047,-3962,47,16,-99,7776,-336,-391,0.317693055,5.043988228,1.60244,0.07752993
3,5068,-1209,1955,3681,-7086,-629,-1602,-178,-328,2712,5934,-5553,6202,-21284,329,10270,-479,2116,173,-63,-218,7723,-278,-319,0.317693055,5.043988228,1.60244,0.077537581
3,4633,1025,2224,3597,-6439,1844,-1622,-846,-92,2820,4889,-4978,8079,-20784,849,10317,435,8516,406,-75,-263,7733,71,-176,0.312805474,5.043988228,1.577787161,0.077545121
3,4225,2492,3315,1003,-4708,2845,-1611,-1242,385,3075,5075,-3431,9309,-17359,1103,12289,2873,16330,533,-114,-274,7781,258,-25,0.317693055,5.043988228,1.60244,0.077552781
3,4158,1894,3665,-1361,-1750,4621,-1715,-1217,692,2730,6162,-2479,4780,-10697,852,11198,5919,21713,562,-105,-195,7890,529,3,0.312805474,5.043988228,1.577787161,0.077560306
3,3811,1061,3285,-3427,-2682,7788,-2002,-542,800,2545,7070,-2575,1184,-6387,17,9566,5273,20118,495,-68,-116,7975,547,-24,0.322580636,5.05376339,1.630246162,0.077568099
3,3066,1049,2553,-4238,-4980,9957,-1947,470,664,2593,7091,-3493,-99,-3112,67,9871,2923,14336,443,11,-20,7996,374,-78,0.317693055,5.043988228,1.60244,0.077575751
3,1785,1300,1588,-4712,-6440,10481,-1518,1643,295,2719,7207,-4689,1508,-2322,373,8279,2421,12338,421,68,37,8055,187,-93,0.312805474,5.05376339,1.580844879,0.077583306
3,980,1032,939,-3542,-6605,9020,-1294,1957,-54,2045,7168,-4840,1994,-1747,255,6465,3455,13003,383,72,45,8006,198,-118,0.322580636,5.043988228,1.627092957,0.077591084
3,397,1020,364,-2994,-6766,7044,-1177,1105,-417,1162,6843,-4458,1364,-395,-147,4219,4187,13925,328,103,-18,7996,203,-135,0.332355827,5.043988228,1.676398873,0.077599108
3,-48,725,-259,-2993,-7480,5276,-1043,197,-609,1373,6169,-4367,7,1356,-333,2228,3738,12838,109,53,-53,7566,229,-113,0.332355827,5.043988228,1.676398873,0.07760711
3,-271,337,-641,-2717,-7933,5070,-632,-445,-771,2271,5939,-4452,-811,2214,-332,1436,2635,11057,37,15,-60,7621,284,-149,0.312805474,5.043988228,1.577787161,0.077614643
3,-751,-185,-1068,-2288,-7265,5851,19,-283,-790,3655,6173,-4705,-364,2571,-172,2503,1578,11352,-22,-62,-65,7766,337,10,0.312805474,5.043988228,1.577787161,0.07762219
3,-1368,-100,-1291,-1213,-5726,7016,300,113,-634,4021,6736,-4210,774,3461,-624,6311,804,14176,-14,-105,-79,8004,347,123,0.312805474,5.043988228,1.577787161,0.077629723
