activity,wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
10,-3133,-169,-341,-4948,7563,-2146,-154,1602,-1515,2539,8280,-2792,627,2545,-2223,8259,-298,-5058,16,18,-70,7647,1137,-1288,0.356793731,5.043988228,1.799663424,0.415511191
10,1508,643,-3639,-6385,-677,-4191,2259,-1155,383,3043,4641,-6819,-912,-1762,-3143,409,6263,-5318,-98,-25,7,7827,184,-729,0.322580636,5.05376339,1.630246162,0.422628492
10,1508,700,-3601,-6400,-967,-4333,2198,-1117,359,3028,4394,-6991,-764,-1848,-3136,63,6295,-5185,-113,-30,-4,7825,195,-727,0.322580636,5.05376339,1.630246162,0.4226363
10,1494,777,-3511,-6299,-1361,-4428,2213,-1059,364,3017,4235,-7147,-679,-1934,-3075,-255,6283,-5141,-123,-32,-11,7843,200,-671,0.312805474,5.043988228,1.577787161,0.42264384
10,1467,829,-3439,-6174,-1668,-4617,2219,-1018,394,3019,4148,-7254,-571,-1910,-3035,-619,6283,-5121,-107,-37,-11,7849,212,-686,0.322580636,5.043988228,1.627092957,0.422651589
10,1452,856,-3389,-6022,-1947,-4688,2212,-1031,412,2910,3966,-7419,-578,-1872,-2965,-885,6381,-5109,-105,-27,-11,7851,204,-712,0.322580636,5.05376339,1.630246162,0.422659367
10,1451,814,-3410,-6034,-2179,-4732,2225,-1010,354,2901,3792,-7468,-666,-1832,-2812,-1153,6223,-5122,-109,-7,-2,7878,172,-718,0.322580636,5.043988228,1.627092957,0.422667176
10,1475,737,-3381,-5852,-2402,-4780,2205,-990,321,2817,3596,-7489,-646,-1762,-2755,-1601,6159,-5027,-96,14,-5,7845,178,-714,0.317693055,5.05376339,1.605545521,0.422674835
10,1506,681,-3281,-5468,-2777,-4843,2148,-993,323,2697,3423,-7572,-566,-1720,-2744,-2026,5995,-4871,-91,12,-11,7823,182,-713,0.327468216,5.05376339,1.654946923,0.422682762
10,1526,721,-3165,-5173,-2965,-4741,2131,-976,335,2655,3194,-7731,-529,-1759,-2714,-2395,5870,-4957,-103,4,-14,7831,180,-702,0.312805474,5.05376339,1.580844879,0.422690332
10,1520,799,-3081,-4981,-3214,-4541,2144,-921,345,2562,3183,-7666,-521,-1912,-2655,-2674,5666,-4847,-85,22,-10,7856,163,-662,0.327468216,5.05376339,1.654946923,0.422698289
10,1542,809,-3045,-4843,-3272,-4510,2149,-863,366,2549,3087,-7781,-531,-2093,-2522,-2875,5523,-4574,-86,17,1,7800,154,-691,0.327468216,5.05376339,1.654946923,0.422706217
10,1589,801,-2958,-4610,-3604,-4567,2120,-827,367,2519,2988,-7863,-496,-2101,-2399,-3045,5371,-4251,-56,5,-3,7809,186,-691,0.317693055,5.043988228,1.60244,0.422713876
10,1599,799,-2856,-4415,-3849,-4545,2030,-782,413,2280,2785,-7794,-494,-2038,-2358,-3261,5214,-4044,-42,-1,-7,7831,218,-709,0.312805474,5.05376339,1.580844879,0.422721446
10,1579,760,-2693,-4008,-4028,-4409,1993,-836,409,2279,2532,-7876,-509,-1970,-2278,-3552,4889,-3794,-50,3,-5,7824,244,-698,0.327468216,5.05376339,1.654946923,0.422729343
10,1581,797,-2590,-3789,-4044,-4247,1977,-845,408,2231,2438,-7919,-417,-1952,-2146,-3763,4579,-3572,-76,-10,-5,7799,231,-699,0.317693055,5.05376339,1.605545521,0.422737032
10,1579,792,-2469,-3513,-4343,-4191,1960,-912,424,2098,2280,-7987,-323,-1887,-2012,-3995,4301,-3354,-69,-23,-9,7816,218,-678,0.332355827,5.05376339,1.679647684,0.422745079
10,1575,818,-2262,-3263,-4490,-4057,1936,-993,430,2104,2121,-8069,-159,-1815,-1890,-4175,4089,-3127,-78,-15,-7,7843,213,-638,0.307917893,5.043988228,1.553134203,0.4227525
10,1537,875,-2087,-3021,-4549,-3972,1891,-1047,451,2093,1997,-8105,49,-1621,-1657,-4405,4165,-2910,-65,-18,-10,7845,196,-611,0.312805474,5.043988228,1.577787161,0.42276004
