activity,wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
7,1821,-1149,3505,-13164,-566,-930,-1013,-2827,6689,6247,6210,-2205,-729,802,3747,-948,14795,-5050,212,-3529,983,11999,484,-5636,0.376344085,5.05376339,1.901953936,0.284923047
7,93,131,-132,-3604,7819,-2904,-135,18,299,-274,8472,-2053,100,130,8,8158,1792,-3892,-100,4,18,7702,-1029,-532,0.317693055,5.05376339,1.605545521,0.28996411
7,144,-37,-258,-3852,7891,-2849,-182,-108,429,-198,8638,-2120,-56,81,-215,7853,2382,-3758,-136,-14,9,7862,-943,-427,0.317693055,5.05376339,1.605545521,0.289971799
7,91,-373,-371,-3664,7854,-2665,-214,-54,537,-127,8585,-2346,-503,-75,-436,7753,2632,-3610,-264,9,47,7930,-716,-242,0.317693055,5.043988228,1.60244,0.289979458
7,-17,-623,-601,-3787,7687,-2629,-236,29,657,-127,8380,-2490,-924,-127,-537,7912,2703,-3524,-362,63,93,7792,-496,-89,0.327468216,5.05376339,1.654946923,0.289987385
7,-85,-728,-808,-4237,7485,-2655,-240,216,862,68,8050,-2284,-1104,21,-625,7937,2732,-3474,-330,92,121,7986,-432,-29,0.312805474,5.043988228,1.577787161,0.289994925
7,-168,-797,-1031,-4216,7295,-2514,-210,431,1018,194,8021,-2132,-1009,162,-857,7763,2795,-3422,-286,69,105,7978,-487,-166,0.327468216,5.043988228,1.651745796,0.290002853
7,-259,-599,-1155,-4007,7262,-2383,-101,592,1173,97,7895,-2079,-689,215,-1190,7672,2773,-3418,-102,-41,78,7676,-703,-451,0.322580636,5.05376339,1.630246162,0.290010661
7,-411,-206,-1366,-4297,7140,-1995,-25,700,1170,-79,7851,-2043,-380,171,-1407,7452,2811,-3375,105,-149,107,7618,-761,-596,0.317693055,5.05376339,1.605545521,0.29001832
7,-530,72,-1477,-4375,6907,-1733,87,829,1103,-161,7898,-1875,6,70,-1492,7156,2773,-3213,135,-145,188,7745,-914,-584,0.322580636,5.043988228,1.627092957,0.290026098
7,-632,435,-1558,-4330,6711,-1569,168,924,993,-61,7905,-1735,348,-100,-1530,7064,2695,-3047,111,-60,286,7903,-903,-451,0.312805474,5.05376339,1.580844879,0.290033638
7,-676,773,-1567,-4225,6600,-1562,231,1026,796,-206,7498,-1648,697,-199,-1557,7107,2611,-2863,201,29,307,7791,-818,-355,0.312805474,5.043988228,1.577787161,0.290041178
7,-647,1257,-1489,-3873,6298,-1693,387,1072,635,-249,7595,-1656,943,-96,-1876,7219,2843,-2647,377,-8,288,7724,-786,-510,0.312805474,5.043988228,1.577787161,0.290048718
7,-452,1832,-1273,-3581,6140,-2084,463,1086,399,-359,7637,-1722,1069,153,-2368,7324,3177,-2297,676,-165,307,7796,-689,-634,0.322580636,5.043988228,1.627092957,0.290056527
7,-385,2086,-1185,-3823,6392,-1949,563,1054,177,-492,7647,-1807,1254,707,-2751,7471,3122,-1570,706,-179,354,7873,-400,-615,0.317693055,5.05376339,1.605545521,0.290064186
7,-487,2259,-1253,-4557,6278,-1459,596,982,85,-475,7591,-1778,901,1429,-2711,7687,4261,-1102,611,-86,425,8058,-144,-547,0.317693055,5.05376339,1.605545521,0.290071875
7,-497,1932,-1290,-5013,6393,-1482,574,868,22,-47,7528,-1780,140,2056,-2526,7344,4338,-1029,498,18,438,7882,-117,-506,0.317693055,5.05376339,1.605545521,0.290079534
7,-655,1010,-1378,-5169,6394,-892,567,852,79,195,7416,-1783,-573,2133,-2254,6801,3796,-1475,555,-33,434,7720,-332,-654,0.307917893,5.05376339,1.556144118,0.290086955
