activity,wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
3,-1076,-888,253,-3066,-3435,-3400,-1263,-2466,848,2379,-395,-8278,1593,5751,-1660,-9835,5343,-20917,-290,167,105,7374,-1792,-135,0.366568923,5.05376339,1.852552652,0.071437277
3,22,36,251,-2295,7594,-2630,10,98,89,1428,7956,-991,80,46,208,7761,868,-2526,-25,9,40,7527,-1759,-817,0.317693055,5.05376339,1.605545521,0.156010419
3,15,111,181,-2287,7634,-2605,27,52,112,1381,8157,-1030,212,22,138,7761,939,-2536,-54,-18,27,7531,-1768,-790,0.322580636,5.05376339,1.630246162,0.156018242
3,7,185,89,-2253,7547,-2556,-14,44,142,1451,8061,-1063,253,11,48,7657,1012,-2472,-43,-42,15,7515,-1881,-810,0.317693055,5.05376339,1.605545521,0.156025916
3,-12,193,18,-2273,7411,-2570,-30,64,155,1507,7907,-1042,183,13,-10,7528,1022,-2382,5,-63,3,7502,-1999,-843,0.312805474,5.05376339,1.580844879,0.156033471
3,-35,161,-50,-2322,7311,-2515,6,115,126,1508,7723,-897,131,-3,-47,7460,936,-2402,17,-47,18,7491,-2077,-831,0.312805474,5.043988228,1.577787161,0.156041011
3,-38,127,-84,-2271,7285,-2553,54,126,92,1484,7751,-874,134,-6,-95,7452,849,-2470,7,-24,26,7478,-2163,-780,0.312805474,5.05376339,1.580844879,0.156048611
3,-22,98,-128,-2249,7262,-2556,63,115,41,1423,7871,-806,143,-21,-101,7419,831,-2500,30,-7,33,7497,-2137,-786,0.312805474,5.05376339,1.580844879,0.156056181
3,0,87,-154,-2180,7319,-2523,36,88,-14,1450,7886,-816,133,-71,-136,7444,860,-2484,52,8,26,7526,-2071,-782,0.337243408,5.05376339,1.704348445,0.156064332
3,30,61,-201,-2213,7445,-2511,37,72,-72,1442,7883,-901,91,-137,-186,7538,903,-2429,83,10,19,7542,-1961,-827,0.337243408,5.05376339,1.704348445,0.156072438
3,43,-4,-256,-2270,7568,-2510,17,11,-78,1460,7949,-913,24,-170,-235,7718,959,-2403,94,7,15,7496,-1922,-796,0.342130989,5.05376339,1.729049087,0.156080663
3,49,-105,-312,-2215,7558,-2531,-12,-33,-44,1509,8055,-946,-81,-145,-292,7695,969,-2266,81,15,13,7521,-1932,-760,0.337243408,5.05376339,1.704348445,0.156088769
